"altersklasse_covid19","nachweismethode","geoRegion","datum","entries","entries_pos","entries_neg","sumTotal","anteil_pos","anteil_pos_diff","anteil_pos_all","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"20 - 29","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-12",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-13",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-14",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-15",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-16",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-17",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-18",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-19",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,453670,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","all","CH",202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-20",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,873043,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,844155,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045350,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229176,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198325,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292837,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,947959,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","all","CH",202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,721518,NA,NA,"COVID19Test","altersklasse_covid19","2021-05-20_07-49-25","isoweek","2020-21",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
